electoral_district,name,voters,color_id,color,terr
68,Приморский край – Арсеньевский одномандатный избирательный округ,443773,3,#008000,Арсеньевский городской округ; Дальнереченский городской округ; Находкинский городской округ; муниципальный округ город Партизанск; Анучинский муниципальный округ; Дальнегорский муниципальный округ; Кавалеровский муниципальный округ; Красноармейский муниципальный округ; Лазовский муниципальный округ; Лесозаводский муниципальный округ; Ольгинский муниципальный округ; Партизанский муниципальный округ; Пожарский муниципальный округ; Тернейский муниципальный округ; Чугуевский муниципальный округ; Яковлевский муниципальный округ; Дальнереченский муниципальный район; Кировский муниципальный район
69,Ставропольский край – Ставропольский одномандатный избирательный округ,489421,15,#ee82ee,"городской округ город Ставрополь: Ленинский район, Октябрьский район; Александровский муниципальный округ; Благодарненский муниципальный округ; Грачевский муниципальный округ; Ипатовский муниципальный округ; Красногвардейский муниципальный округ; Новоселицкий муниципальный округ; Петровский муниципальный округ; Труновский муниципальный округ; Шпаковский муниципальный округ: город Михайловск, поселок Верхнедубовский, села: Дубовка, Калиновка, Казинка, Надежда, Петропавловка, Пелагиада, хутора: Балки, Богатый, Дубовый, Жилейка, Кожевников, Подгорный, Ташла"
70,Ставропольский край – Невинномысский одномандатный избирательный округ,465899,3,#008000,"городской округ город Невинномысск; городской округ город Ставрополь: Промышленный район; Андроповский муниципальный округ; Изобильненский муниципальный округ; Кочубеевский муниципальный округ; Новоалександровский муниципальный округ; Шпаковский муниципальный округ: поселки: Новый Бешпагир, Приозерный, Северный, Степной, Цимлянский, Ясный, села: Верхнерусское, Сенгилеевское, Татарка, станицы: Новомарьевская, Темнолесская, хутора: Верхнеегорлыкский, Веселый, Вязники, Гремучий, Грушовый Нижний, Демино, Извещательный, Калюжный, Липовчанский, Нижнерусский, Новокавказский, Польский, Рынок, Садовый, Темнореченский, Холодногорский"
71,Ставропольский край – Кавминводский одномандатный избирательный округ,503820,7,#ffa500,городской округ город Лермонтов; городской округ город-курорт Ессентуки; городской округ город-курорт Железноводск; городской округ город-курорт Кисловодск; городской округ город-курорт Пятигорск; Минераловодский муниципальный округ; Предгорный муниципальный округ
72,Ставропольский край – Георгиевский одномандатный избирательный округ,440468,8,#ffff00,Апанасенковский муниципальный округ; Арзгирский муниципальный округ; Буденновский муниципальный округ; Георгиевский муниципальный округ; Кировский муниципальный округ; Курский муниципальный округ; Левокумский муниципальный округ; Нефтекумский муниципальный округ; Советский муниципальный округ; Степновский муниципальный округ; Туркменский муниципальный округ
73,Хабаровский край – Хабаровский одномандатный избирательный округ,469498,10,#00fa9a,"городской округ ""Город Хабаровск"": Индустриальный район, Кировский район, Центральный район; Бикинский муниципальный округ; Ванинский муниципальный район; Вяземский муниципальный район; Комсомольский муниципальный район; муниципальный район имени Лазо; Нанайский муниципальный район; Николаевский муниципальный район; Советско-Гаванский муниципальный район; Ульчский муниципальный район; Хабаровский муниципальный район: Корфовское городское поселение, Дружбинское сельское поселение, Князе-Волконское сельское поселение, Корсаковское сельское поселение, Осиновореченское сельское поселение, сельское поселение ""Село Бычиха"", сельское поселение ""Село Ильинка"", сельское поселение ""Село Казакевичево"", сельское поселение ""Село Некрасовка"", Хабаровск-47"
74,Хабаровский край – Комсомольский одномандатный избирательный округ,475645,8,#ffff00,"городской округ ""Город Комсомольск-на-Амуре""; городской округ ""Город Хабаровск"": Железнодорожный район, Краснофлотский район; Охотский муниципальный округ; Амурский муниципальный район; Аяно-Майский муниципальный район; Верхнебуреинский муниципальный район; муниципальный район имени Полины Осипенко; Солнечный муниципальный район; Тугуро-Чумиканский муниципальный район; Хабаровский муниципальный район: Анастасьевское сельское поселение, Восточное сельское поселение, Галкинское сельское поселение, Елабужское сельское поселение, Куканское сельское поселение, Малышевское сельское поселение, Мирненское сельское поселение, Мичуринское сельское поселение, Наумовское сельское поселение, Побединское сельское поселение, Ракитненское сельское поселение, Сергеевское сельское поселение, Тополевское сельское поселение, Улика-Национальное сельское поселение, сельское поселение ""Село Новокуровка"", сельское поселение ""Село Петропавловка"", сельское поселение ""Село Сикачи-Алян"", сельское поселение ""Село Челны"""
75,Амурская область – Амурский одномандатный избирательный округ,584961,11,#00ffff,
76,Архангельская область – Архангельский одномандатный избирательный округ,409493,10,#00fa9a,"городской округ город Архангельск: Маймаксанский территориальный округ, Октябрьский территориальный округ, Северный территориальный округ, Соломбальский территориальный округ; муниципальный округ город Северодвинск; Каргопольский муниципальный округ; Няндомский муниципальный округ; Онежский муниципальный округ; Плесецкий муниципальный округ; Приморский муниципальный округ: деревни: Андрианово, Байкалово, Бармино, Белое, Беричево, Большая Федоровская, Большое Анисимово, Большое Бурдуково, Большое Тойнокурье, Борисовская, Борковское, Боры, Брательское, Вагино, Вагинский Наволок, Великое, Верхнее Ладино, Верхнее Рыболово, Волочек, Выселки, Глинник, Гневашево, Голова, Долгое, Залахотье, Заручей-Островной, Захарово-Островное, Зворково, Кавкола, Кальчино, Кипарово, Конецдворье, Красная Гора, Красное, Курган, Кырласово, Кяростров, Ластола, Лахта-Островная, Лая, Левковка, Летний Наволок, Летняя Золотица, Личка, Лопшеньга, Луда, Лянецкое, Малая Тойнокурья, Малая Хечемень, Малое Анисимово, Малое Бурдуково, Мяндино, Наумцево, Нижнее Ладино, Нижнее Рыболово, Нижние Валдушки, Одино, Одиночка, Онишово, Опорно-опытный пункт, Осинник, Острова, Перхачево, Пески, Питяево, Прилук, Пуново, Пустой Двор, Пустошь, Пушлахта, Рикасиха, Рикасово, Свинец, Средние Валдушки, Студименское, Тиноватик, Тойватово, Уна, Усть-Заостровская, Хвосты, Чекоминка, Чубола, Чубола-Наволок, Чужгоры, Шихириха, Яреньга, железнодорожная станция Лайская железнодорожные разъезды: 22 км, 28 км, 34 км, маяки: Орловский, Унский, Чесменский, остров Жижгин, поселки: Лайский Док, Луговой, Малая Муксалма, Пертоминск, Реболда, Савватьево, Соловецкий, село Вознесенье; Вельский муниципальный район; Коношский муниципальный район"
77,Архангельская область – Котласский одномандатный избирательный округ,433482,2,#8b4513,"городской округ город Архангельск: Варавино-Фактория территориальный округ, Исакогорский территориальный округ, Ломоносовский территориальный округ, Майская Горка территориальный округ, Цигломенский территориальный округ; городской округ город Коряжма; городской округ город Новодвинск; городской округ Котлас; городской округ Мирный; городской округ Новая Земля; Верхнетоемский муниципальный округ; Вилегодский муниципальный округ; Виноградовский муниципальный округ; Котласский муниципальный округ; Красноборский муниципальный округ; Лешуконский муниципальный округ; Мезенский муниципальный округ; Пинежский муниципальный округ; Приморский муниципальный округ: деревни: Амосово, Архипово, Бабанегово, Бакарица, Боброво, Большая Корзиха, Большие Карелы, Бор, Бутырки, Бутырская, Верхние Валдушки, Верхняя Золотица, Верховье, Волохница, Горка, Дедов Полой, Дряхлицыно, Емельяновская, Ершовка, Заозерье, Заручевская, Заручей, Захарово, Зачапино, Ижма, Исакогорка, Кадь, Карандашевская, Козлы, Кондратьевская, Конецгорье, Корелы, Коровкинская, Косково, Кривляево, Кузьмино, Кукушка, Куропти, Кушкушара, Куя, Лапоминка, Лахта, Лингостров, Любовское, Малая Корзиха, Малые Карелы, Мелехово, Мордарово, Мыза, Наволок, Негино, Нестерово, Нижняя Золотица, Никольское, Новинки, Новое Лукино, Новое Стражково, Окулово, Олешник, Патракеевка, Первая Гора, Повракульская, Погорелка, Погорельская, Подборка, Псарево, Ригач, Савинская, Саломат, Сапушкино, Семеново, Слободка, Словенское, Средняя Гора, Старое Стражково, Степановская, Тараканово, Трепузово, Туманок, Фельшинка, Хаврогоры, Холм, Хорьково, Ценовец, Часовенская, Часовенское, Черный Яр, Шеинская, Ширша, железнодорожные станции: Брусеница, Илес, Тундра, маяки: Вепревский, Зимнегорский, населенный пункт Аэропорт Васьково, остров Ягодник, поселки: Беломорье, Боброво, Вайново, Васьково, Дом инвалидов, Катунино, Мудьюг, Талаги, Уемский, Ширшинский, выселок Това, разъезд Лодемский; Устьянский муниципальный округ; Холмогорский муниципальный округ; Шенкурский муниципальный округ; Ленский муниципальный район"
78,Астраханская область – Астраханский одномандатный избирательный округ,709392,13,#ff00ff,
79,Белгородская область – Белгородский одномандатный избирательный округ,607795,4,#00008b,"городской округ ""Город Белгород""; Белгородский муниципальный округ; Борисовский муниципальный округ; Грайворонский муниципальный округ; Ивнянский муниципальный округ; Корочанский муниципальный округ; Краснояружский муниципальный округ; Прохоровский муниципальный округ; Ракитянский муниципальный округ; Яковлевский муниципальный округ"
80,Белгородская область – Старооскольский одномандатный избирательный округ,597633,8,#ffff00,Губкинский городской округ; Старооскольский городской округ; Алексеевский муниципальный округ; Валуйский муниципальный округ; Вейделевский муниципальный округ; Волоконовский муниципальный округ; Красненский муниципальный округ; Красногвардейский муниципальный округ; Новооскольский муниципальный округ; Ровеньский муниципальный округ; Чернянский муниципальный округ; Шебекинский муниципальный округ
81,Брянская область – Брянский одномандатный избирательный округ,474161,9,#7fff00,"городской округ город Брянск: Советский район, Фокинский район; Новозыбковский городской округ; Стародубский муниципальный округ; муниципальный район Брасовский район; муниципальный район Брянский район: сельское поселение Добрунское, сельское поселение Мичуринское, сельское поселение Свенское, сельское поселение Снежское, сельское поселение Супоневское; муниципальный район Выгоничский район; муниципальный район Злынковский район; муниципальный район Карачевский район; муниципальный район Климовский район; муниципальный район Комаричский район; муниципальный район Навлинский район; муниципальный район Погарский район; муниципальный район Почепский район; муниципальный район Севский район; муниципальный район Суземский район; муниципальный район Трубчевский район"
82,Брянская область – Унечский одномандатный избирательный округ,467209,12,#0000ff,"городской округ город Брянск: Бежицкий район, Володарский район; городской округ город Клинцы; Сельцовский городской округ; городской округ город Фокино; Жуковский муниципальный округ; муниципальный район Брянский район: сельское поселение Глинищевское, сельское поселение Домашовское, сельское поселение Журиничское, сельское поселение Нетьинское, сельское поселение Новодарковичское, сельское поселение Новосельское, сельское поселение Отрадненское, сельское поселение Пальцовское, сельское поселение Стекляннорадицкое, сельское поселение Чернетовское; муниципальный район Гордеевский район; муниципальный район Дубровский район; муниципальный район Дятьковский район; муниципальный район Жирятинский район; муниципальный район Клетнянский район; муниципальный район Клинцовский район; муниципальный район Красногорский район; муниципальный район Мглинский район; муниципальный район Рогнединский район; муниципальный район Суражский район; муниципальный район Унечский район"
83,Владимирская область – Владимирский одномандатный избирательный округ,534912,7,#ffa500,городской округ город Владимир: Октябрьский район; городской округ город Гусь-Хрустальный; городской округ город Ковров; городской округ Муром; Меленковский муниципальный округ; муниципальный район Вязниковский район; муниципальный район Гороховецкий район; муниципальный район Гусь-Хрустальный район; муниципальный район Камешковский район; муниципальный район Ковровский район; муниципальный район Селивановский район
84,Владимирская область – Суздальский одномандатный избирательный округ,539639,9,#7fff00,"городской округ город Владимир: Ленинский район, Фрунзенский район; городской округ ЗАТО город Радужный; Собинский муниципальный округ; муниципальный район Александровский район; муниципальный район Киржачский район; муниципальный район Кольчугинский район; муниципальный район Петушинский район; муниципальный район Судогодский район; муниципальный район Суздальский район; муниципальный район Юрьев-Польский район"
85,Волгоградская область – Волгоградский одномандатный избирательный округ,585937,13,#ff00ff,"городской округ город-герой Волгоград: Ворошиловский район, Дзержинский район, Центральный район; городской округ - город Камышин; городской округ город Фролово; Городищенский муниципальный район; Даниловский муниципальный район; Дубовский муниципальный район; Еланский муниципальный район; Жирновский муниципальный район; Иловлинский муниципальный район; Камышинский муниципальный район; Киквидзенский муниципальный район; Котовский муниципальный район; Ольховский муниципальный район; Руднянский муниципальный район; Фроловский муниципальный район"
86,Волгоградская область – Михайловский одномандатный избирательный округ,623711,5,#b03060,"городской округ город-герой Волгоград: Кировский район, Красноармейский район, Советский район; городской округ город Урюпинск; муниципальный округ город Михайловка; Алексеевский муниципальный район; Калачевский муниципальный район; Клетский муниципальный район; Котельниковский муниципальный район; Кумылженский муниципальный район; Нехаевский муниципальный район; Новоаннинский муниципальный район; Новониколаевский муниципальный район; Октябрьский муниципальный район; Светлоярский муниципальный район; Серафимовичский муниципальный район; Суровикинский муниципальный район; Урюпинский муниципальный район; Чернышковский муниципальный район"
87,Волгоградская область – Волжский одномандатный избирательный округ,561576,6,#ff0000,"городской округ город-герой Волгоград: Краснооктябрьский район, Тракторозаводский район; городской округ - город Волжский; Быковский муниципальный район; Ленинский муниципальный район; Николаевский муниципальный район; Палласовский муниципальный район; Среднеахтубинский муниципальный район; Старополтавский муниципальный район"
88,Вологодская область – Вологодский одномандатный избирательный округ,478966,5,#b03060,городской округ город Вологда; Бабушкинский муниципальный округ; Великоустюгский муниципальный округ; Верховажский муниципальный округ; Вологодский муниципальный округ; Грязовецкий муниципальный округ; Кичменгско-Городецкий муниципальный округ; Междуреченский муниципальный округ; Никольский муниципальный округ; Нюксенский муниципальный округ; Сокольский муниципальный округ; Сямженский муниципальный округ; Тарногский муниципальный округ; Тотемский муниципальный округ
89,Вологодская область – Череповецкий одномандатный избирательный округ,416111,9,#7fff00,городской округ город Череповец; Бабаевский муниципальный округ; Белозерский муниципальный округ; Вашкинский муниципальный округ; Вожегодский муниципальный округ; Кадуйский муниципальный округ; Кирилловский муниципальный округ; Усть-Кубинский муниципальный округ; Устюженский муниципальный округ; Харовский муниципальный округ; Чагодощенский муниципальный округ; Вытегорский муниципальный район; Череповецкий муниципальный район; Шекснинский муниципальный район
90,Воронежская область – Воронежский одномандатный избирательный округ,606752,13,#ff00ff,"городской округ город Воронеж: Коминтерновский район, Советский район; городской округ город Нововоронеж; муниципальный район Каменский район; муниципальный район Нижнедевицкий район; муниципальный район Ольховатский район; муниципальный район Острогожский район; муниципальный район Подгоренский район; муниципальный район Репьёвский район; муниципальный район Семилукский район; муниципальный район Хохольский район"
91,Воронежская область – Аннинский одномандатный избирательный округ,595221,8,#ffff00,"городской округ город Воронеж: Железнодорожный район, Ленинский район, Центральный район; Борисоглебский городской округ; муниципальный район Аннинский район; муниципальный район Верхнехавский район; муниципальный район Грибановский район; муниципальный район Новоусманский район; муниципальный район Панинский район; муниципальный район Поворинский район; муниципальный район Рамонский район; муниципальный район Терновский район; муниципальный район Эртильский район"
92,Воронежская область – Павловский одномандатный избирательный округ,601692,12,#0000ff,городской округ город Воронеж: Левобережный район; муниципальный район Бобровский район; муниципальный район Богучарский район; муниципальный район Бутурлиновский район; муниципальный район Верхнемамонский район; муниципальный район Воробьёвский район; муниципальный район Калачеевский район; муниципальный район Кантемировский район; муниципальный район Каширский район; муниципальный район Лискинский район; муниципальный район Новохопёрский район; муниципальный район Павловский район; муниципальный район Петропавловский район; муниципальный район Россошанский район; муниципальный район Таловский район
93,Запорожская область – Запорожский одномандатный избирательный округ,446114,3,#008000,
94,Ивановская область – Ивановский одномандатный избирательный округ,757581,11,#00ffff,
95,Иркутская область – Иркутский одномандатный избирательный округ,466013,14,#6495ed,"городской округ город Иркутск: Кировский район, Куйбышевский район, Октябрьский район; городской округ город Саянск; Зиминский городской округ; Балаганский муниципальный округ; Жигаловский муниципальный округ; Иркутский муниципальный округ: деревни: Бурдаковка, Новогрудинина, Новолисиха, Худякова, заимка Поливаниха, поселки: Ангарские Хутора, Березка, Большая Речка, Большие Коты, Большое Голоустное, Бурдугуз, Бутырки, Горячий Ключ, Дзержинск, Добролет, Дорожный, Лебединка, Молодежный, Нижний Кочергат, Никола, Новая Разводная, Падь Мельничная, Патроны, Первомайский, Тальцы, Черемшанка, рабочие поселки: Листвянка, Маркова, села: Малое Голоустное, Пивовариха; Качугский муниципальный округ; муниципальный район Баяндаевский район; муниципальный район Зиминский район; муниципальный район Куйтунский район; муниципальный район Ольхонский район; муниципальный район Осинский район; муниципальный район Слюдянский район; муниципальный район Эхирит-Булагатский район; муниципальный район Усть-Удинский район"
96,Иркутская область – Ангарский одномандатный избирательный округ,474956,5,#b03060,"городской округ город Иркутск: Ленинский район; городской округ город Свирск; городской округ город Усолье-Сибирское; Ангарский городской округ; Иркутский муниципальный округ: деревни: Ангара, Баруй, Бургаз, Бутырки, Быкова, Верхний Кет, Галки, Горяшина, Грановщина, Егоровщина, Жердовка, Зорино-Быково, Зыкова, Карлук, Каштак, Коты, Куда, Кыцигировка, Лыловщина, Максимовщина, Малая Еланка, Мишонкова, Московщина, Позднякова, Ревякина, Рязановщина, Сайгуты, Сосновый Бор, Степановка, Столбова, Тайтура, Талька, Тихонова Падь, Турская, Усть-Куда, Хайрюзовка, Черемушка, Ширяева, заимки: Вдовина, Глазунова, поселки: Бухун, Горный, Малая Топка, Парфеновка, Плишкино, Усть-Балей, села: Горохово, Еловка, Максимовщина, Мамоны, Никольск, Оек, Урик, Хомутово; Нукутский муниципальный округ; муниципальный район Аларский район; муниципальный район Боханский район"
97,Иркутская область – Шелеховский одномандатный избирательный округ,468592,8,#ffff00,городской округ город Иркутск: Свердловский район; городской округ город Черемхово; Тулунский городской округ; Заларинский муниципальный округ; Иркутский муниципальный округ: село Смоленщина; Тайшетский муниципальный округ; муниципальный район Нижнеудинский район; муниципальный район Тулунский район; муниципальный район Усольский район; муниципальный район Черемховский район; муниципальный район Шелеховский район
98,Иркутская область – Братский одномандатный избирательный округ,414984,7,#ffa500,городской округ город Братск; городской округ город Усть-Илимск; Киренский муниципальный округ; Нижнеилимский муниципальный округ; Усть-Илимский муниципальный округ; Чунский муниципальный округ; муниципальный район Бодайбинский район; муниципальный район Братский район; муниципальный район Казачинско-Ленский район; муниципальный район Катангский район; муниципальный район Мамско-Чуйский район; муниципальный район Усть-Кутский район
99,Калининградская область – Калининградский одномандатный избирательный округ,422893,7,#ffa500,"городской округ город Калининград: Ленинградский район; Балтийский городской округ; Пионерский городской округ; Светловский городской округ; Светлогорский городской округ; Советский городской округ; Янтарный городской округ; Гурьевский муниципальный округ, за исключением: поселки: Бугрино, Вороново, Голубево, Дорожное, Ласкино, Лесное, Лужки, Малое Лесное, Ново-Дорожный, Новое Лесное, Поддубное, Полевое, Светлое, Ушаково, Цветково, Шоссейное, Яблоневка; Зеленоградский муниципальный округ; Краснознаменский муниципальный округ; Неманский муниципальный округ; Полесский муниципальный округ; Славский муниципальный округ"
100,Калининградская область – Центральный одномандатный избирательный округ,420252,8,#ffff00,"городской округ город Калининград: Московский район, Центральный район; Гусевский городской округ; Ладушкинский городской округ; Мамоновский городской округ; Багратионовский муниципальный округ; Гвардейский муниципальный округ; Гурьевский муниципальный округ: поселки: Бугрино, Вороново, Голубево, Дорожное, Ласкино, Лесное, Лужки, Малое Лесное, Ново-Дорожный, Новое Лесное, Поддубное, Полевое, Светлое, Ушаково, Цветково, Шоссейное, Яблоневка; Нестеровский муниципальный округ; Озёрский муниципальный округ; Правдинский муниципальный округ; Черняховский муниципальный округ"
101,Калужская область – Калужский одномандатный избирательный округ,798108,15,#ee82ee,
102,Кемеровская область – Кузбасс – Кемеровский одномандатный избирательный округ,476218,10,#00fa9a,"городской округ Анжеро-Судженский; городской округ Березовский; городской округ Кемеровский: Кировский район, жилые районы: Кедровка, Промышленновский, Рудничный район, Центральный район; городской округ Тайгинский; городской округ Юргинский; Ижморский муниципальный округ; Кемеровский муниципальный округ: деревни: Дмитриевка, Новая Балахонка, Пещерка, Подъяково, Старая Балахонка, Сутункин Брод, Усть-Хмелевка, поселки: Арсентьевка, Бердовка, Вотиновка, Известковый, Новоподиково, Разведчик, Ровенский, Солнечный, Сосновка, Сосновка-2, Успенка, Черемушки, Щегловский, Юго-Александровка, села: Барановка, Верхотомское, Нижняя Суета; Мариинский муниципальный округ; Тисульский муниципальный округ; Тяжинский муниципальный округ; Чебулинский муниципальный округ; Яйский муниципальный округ; Яшкинский муниципальный округ"
103,Кемеровская область – Кузбасс – Прокопьевский одномандатный избирательный округ,465297,8,#ffff00,"городской округ Кемеровский: Ленинский район; городской округ Киселевский; городской округ Мысковский; городской округ Прокопьевский; Кемеровский муниципальный округ: деревни: Александровка, Вознесенка, Воскресенка, Журавлево, Жургавань, Илиндеевка, Ляпки, Малиновка, Осиновка, Солонечная, Старочервово, Сухово, Тебеньковка, Упоровка, Урманай поселки: Металлплощадка, Михайловский, Панинск, Привольный, села: Андреевка, Елыкаево, Силино; Крапивинский муниципальный округ; Междуреченский муниципальный округ; Новокузнецкий муниципальный округ: деревни: Есаулка, Жерново, Митино, Мокроусово, Шорохово, поселки: Баевка, Березовая Грива, Берензас, Верхний Калтан, Верх-Подобас, Веселый, Восточный, Елань, Ерунаково, Загадное, Зеленый Луг, Иганино, Казанково, Красный Калтан, Металлургов, Муратово, Мутный, Недорезово, Осиновое Плесо, Северный, Сметанино, Смирновка, станции Бардина, станции Ерунаково, станции Керегеш, станции Тальжино, Староабашево, Степной, Тагарыш, Тальжино, Терехино, Увал, Усково, Успенка, Усть-Аскарлы, Усть-Нарык, Черемза, Черный Калтан, Чистая Грива, Чистогорский, Чичербаево, села: Анисимово, Атаманово, Ашмарино, Бедарево, Безруково, Боровково, Ильинка, Красная Орловка, Краснознаменка, Красулино, Кругленькое, Макариха, Сидорово, Славино, Юрково, Ячменюха; Прокопьевский муниципальный округ: деревни: Алексеевка, Антоновка, Каменный Ключ, Кыргай, Лукьяновка, Малая Талда, Осиновка, поселки: Большой Керлегеш, Верх-Тереш, Егултыс, Золх, Ивановка, Индустрия, Калачево, Кара-Чумыш, Ключи, Кольчегиз, Красная Горка, Красная Поляна, Малиновка, Матюшино, Маяковка, Нижний Тереш, Новосафоновский, Новостройка, Новый Путь, Октябрь, Октябрьский, Первомайский, Плодопитомник, Пушкино, Свободный, Севск, Серп и Молот, Смышляево, станции Инченково, станции Каменный Ключ, станции Терентьевская, станции Тырган, станции Углерод, станции Ускат, Тайбинка, Тихоновка, Тихоновка*, Трудармейский, Тыхта, Ускатский, Хлебозавода, Центральный, Чапаевский, Чистугаш, Школьный, Ясная Поляна, села: Большая Талда, Бурлаки, Верх-Егос, Еловка, Иганино, Инченково, Калиновка, Канаш, Карагайла, Кара-Чумыш, Котино, Кутоново, Лучшево, Михайловка, Новорождественское, Оселки, Соколово, Старосергеевка, Терентьевское, Томское, Шарап"
