okrug,color_id,color,,name,voters,terr
31,14,#514835,,Избирательный округ № 31,168484,"Район города Москвы Южное Бутово; часть поселения города Москвы Щербинка в границах:  от границы поселения на запад вдоль южной границы дома 20 по Юбилейной улице до восточной границы дома 16, далее на юго-запад до южной границы дома 16, далее на запад вдоль южной границы дома 16 до восточной границы дома 12 (строение 1), далее на юг вдоль восточной границы дома 9А по Первомайской улице до Первомайской улицы, далее на запад по Первомайской улице до западной границы дома 6 по Первомайской улице, далее на юг вдоль западной границы дома 6 по Первомайской улице до дома 14 по Театральной улице, далее на юго-восток до юго-восточной границы дома 14 по Театральной улице, далее по границе территории Щербинского лифтостроительного завода до Спортивной улицы, далее на юг по Спортивной улице, включая дома 23, 27 и 29 по Спортивной улице, до Железнодорожной улицы, далее на запад по Железнодорожной улице до юго-западной границы дома 22Б, далее на запад до Заводской улицы, далее на север по Заводской улице, далее по Новостроевской улице до южной границы дома 8, далее на запад вдоль южной границы дома 8, на север вдоль западной границы дома 8 до внутриквартального проезда между домом 2 по улице Чехова и домом 11 по Индустриальной улице, далее на запад по внутриквартальному проезду до западной границы дома 11 по Индустриальной улице, далее на северо-запад вдоль южной границы дома 16 по Индустриальной улице до Парковой улицы, далее на север по Парковой улице до западной границы дома 6 по Индустриальной улице, далее на запад до границы поселения, не включая дома по Авиационной улице, далее на северо-восток по границе поселения до южной границы дома 20 по Юбилейной улице."
32,2,#653cb9,,Избирательный округ № 32,171388,"Районы города Москвы: Северное Бутово, Ясенево."
33,3,#cfcd48,,Избирательный округ № 33,171083,"Районы города Москвы: Коньково, Теплый Стан."
34,7,#577e3c,,Избирательный округ № 34,180150,"Районы города Москвы: Зюзино, Обручевский, Черемушки."
35,10,#492b4e,,Избирательный округ № 35,186231,"Районы города Москвы: Академический, Гагаринский, Котловка, Ломоносовский."
36,11,#c7c89b,,Избирательный округ № 36,176946,"Поселения города Москвы: Воскресенское, Московский, «Мосрентген», Рязановское, Сосенское; поселение города Москвы Щербинка, за исключением территории в границах:  от границы поселения на запад вдоль южной границы дома 20 по Юбилейной улице до восточной границы дома 16, далее на юго-запад до южной границы дома 16, далее на запад вдоль южной границы дома 16 до восточной границы дома 12 (строение 1), далее на юг вдоль восточной границы дома 9А по Первомайской улице до Первомайской улицы, далее на запад по Первомайской улице до западной границы дома 6 по Первомайской улице, далее на юг вдоль западной границы дома 6 по Первомайской улице до дома 14 по Театральной улице, далее на юго-восток до юго-восточной границы дома 14 по Театральной улице, далее по границе территории Щербинского лифтостроительного завода до Спортивной улицы, далее на юг по Спортивной улице, включая дома 23, 27  и 29 по Спортивной улице, до Железнодорожной улицы, далее на запад по Железнодорожной улице до юго-западной границы дома 22Б, далее на запад до Заводской улицы, далее на север по Заводской улице, далее по Новостроевской улице до южной границы дома 8, далее на запад вдоль южной границы дома 8, на север вдоль западной границы дома 8 до внутриквартального проезда между домом 2 по улице Чехова и домом 11 по Индустриальной улице, далее на запад по внутриквартальному проезду до западной границы дома 11 по Индустриальной улице, далее на северо-запад вдоль южной границы дома 16 по Индустриальной улице до Парковой улицы, далее на север по Парковой улице до западной границы дома 6 по Индустриальной улице, далее на запад до границы поселения, не включая дома по Авиационной улице, далее на северо-восток по границе поселения до южной границы дома 20 по Юбилейной улице."
37,12,#c34638,,Избирательный округ № 37,180396,"Район города Москвы Внуково;  поселения города Москвы: Вороновское, Десеновское, Киевский, Кленовское, Кокошкино, Краснопахорское, Марушкинское, Михайлово-Ярцевское, Новофедоровское, Первомайское, Роговское, Троицк, Филимонковское, Щаповское."
38,5,#6bd4a3,,Избирательный округ № 38,179646,"Районы города Москвы: Ново-Переделкино, Солнцево; поселение города Москвы Внуковское."
39,2,#653cb9,,Избирательный округ № 39,166029,"Районы города Москвы: Проспект Вернадского, Тропарево-Никулино; район города Москвы Раменки, за исключением территории в границах:  от пересечения Мичуринского проспекта и улицы Косыгина на юго-запад по Мичуринскому проспекту до дома 8 (корпус 1), далее на северо-запад по внутриквартальному проезду вдоль северо-восточных границ дома 8 (корпусы 1 и 2) по Мичуринскому проспекту, юго-западных границ дома 31 (корпусы 5 и 6) по Ломоносовскому проспекту до проектируемого проезда № 6090, включая дом 4 (строение 1) по улице Столетова, владение 31 (корпус 4/7), дома 31 (корпусы 7 и 7, строение 1) и 39 по Ломоносовскому проспекту, далее на северо-восток по проектируемому проезду № 6090 до дома 49 (корпус 1) по Мосфильмовской улице, далее на северо-запад вдоль юго-западной границы дома 49 (корпус 1) и северо-восточной границы дома 47 (строение 2), северо-восточной границы дома 47 по Мосфильмовской улице до Мосфильмовской улицы, далее на юго-запад по Мосфильмовской улице до пересечения с проездом от Мосфильмовской улицы до проспекта Генерала Дорохова, далее на юго-запад по проезду от Мосфильмовской улицы до проспекта Генерала Дорохова до пересечения с проспектом Генерала Дорохова, далее на северо-запад до границы района, далее на северо-восток по границе района, далее от оси русла реки Москвы на юго-запад до пересечения Мичуринского проспекта и улицы Косыгина."
40,6,#bd477a,,Избирательный округ № 40,161149,"Район города Москвы Очаково-Матвеевское; район города Москвы Можайский, за исключением территории в границах:  от пересечения улицы Маршала Неделина и улицы Гришина на северо-запад вдоль восточной границы дома 29 по улице Маршала Неделина до границы района, далее на восток по границе района до Рябиновой улицы и северной границы Кунцевского кладбища, далее на север по Рябиновой улице до Можайского шоссе, далее на юго-запад по Можайскому шоссе до улицы Гришина, далее на северо-запад по улице Гришина до пересечения с улицей Маршала Неделина;  часть района города Москвы Раменки в границах:  от пересечения Мичуринского проспекта и улицы Косыгина на юго-запад по Мичуринскому проспекту до дома 8 (корпус 1), далее на северо-запад по внутриквартальному проезду вдоль северо-восточных границ дома 8 (корпусы 1 и 2) по Мичуринскому проспекту, юго-западных границ дома 31 (корпусы 5 и 6) по Ломоносовскому проспекту до проектируемого проезда № 6090, включая дом 4 (строение 1) по улице Столетова, владение 31 (корпус 4/7), дома 31 (корпусы 7 и 7, строение 1) и 39 по Ломоносовскому проспекту, далее на северо-восток по проектируемому проезду № 6090 до дома 49 (корпус 1) по Мосфильмовской улице, далее на северо-запад вдоль юго-западной границы дома 49 (корпус 1) и северо-восточной границы дома 47 (строение 2), северо-восточной границы дома 47 по Мосфильмовской улице до Мосфильмовской улицы, далее на юго-запад по Мосфильмовской улице до пересечения с проездом от Мосфильмовской улицы до проспекта Генерала Дорохова, далее на юго-запад по проезду от Мосфильмовской улицы до проспекта Генерала Дорохова до пересечения с проспектом Генерала Дорохова, далее на северо-запад до границы района, далее на северо-восток по границе района, далее от оси русла реки Москвы на юго-запад до пересечения Мичуринского проспекта и улицы Косыгина."
41,1,#7ad452,,Избирательный округ № 41,169038,"Район города Москвы Крылатское; район города Москвы Кунцево, за исключением территорий поселка Рублево, деревни Мякинино и участков 3 и 4 в границах города Москвы, установленных Соглашением об изменении границы между субъектами Российской Федерации городом Москвой и Московской областью от 29 ноября 2011 года, постановлением Совета Федерации Федерального Собрания Российской Федерации от 27 декабря 2011 года № 560-СФ «Об утверждении изменения границы между субъектами Российской Федерации городом федерального значения Москвой и Московской областью»; часть района города Москвы Можайский в границах:  от пересечения улицы Маршала Неделина и улицы Гришина на северо-запад вдоль восточной границы дома 29 по улице Маршала Неделина до границы района, далее на восток по границе района до Рябиновой улицы и северной границы Кунцевского кладбища, далее на север по Рябиновой улице до Можайского шоссе, далее на юго-запад по Можайскому шоссе до улицы Гришина, далее на северо-запад по улице Гришина до пересечения с улицей Маршала Неделина."
42,8,#807ac5,,Избирательный округ № 42,151342,"Районы города Москвы: Дорогомилово, Филевский парк, Фили-Давыдково."
43,4,#cb4dc5,,Избирательный округ № 43,182076,"Районы города Москвы: Пресненский, Хорошево-Мневники."
44,1,#7ad452,,Избирательный округ № 44,168348,"Районы города Москвы: Замоскворечье, Таганский, Хамовники, Якиманка."
45,5,#6bd4a3,,Избирательный округ № 45,173843,"Районы города Москвы: Арбат, Басманный, Красносельский, Мещанский, Тверской."
